"1","1","VISUAL","0","27","1","1"
"2","1","VISUAL","1","25","1","1"
"3","1","VISUAL","2","21","0","1"
"4","1","VISUAL","3","20","1","1"
"5","1","VISUAL","4","23","1","1"
"6","1","VISUAL","5","20","1","1"
"7","1","VISUAL","6","20","1","1"
"8","1","VISUAL","7","10","0","1"
"9","1","VISUAL","8","7","1","1"
"10","1","VISUAL","9","7","1","1"
"11","1","VISUAL","10","6","1","1"
"12","1","VISUAL","11","4","1","1"
"13","1","VISUAL","12","4","1","1"
"14","1","VISUAL","13","4","0","1"
"15","1","VISUAL","14","2","0","1"
"16","1","VISUAL","0","2","0","0"
"17","1","VISUAL","1","2","1","0"
"18","1","VISUAL","2","2","0","0"
"19","1","VISUAL","3","2","1","0"
"20","1","VISUAL","4","2","0","0"
"21","1","VISUAL","5","2","1","0"
"22","1","VISUAL","6","2","0","0"
"23","1","VISUAL","7","2","0","0"
"24","1","VISUAL","8","2","1","0"
"25","1","VISUAL","9","2","0","0"
"26","1","VERBAL","0","5","1","1"
"27","1","VERBAL","1","6","1","1"
"28","1","VERBAL","2","7","1","1"
"29","1","VERBAL","3","8","0","1"
"30","1","VERBAL","4","6","1","1"
"31","1","VERBAL","5","7","0","1"
"32","1","VERBAL","6","7","0","1"
"33","1","VERBAL","7","6","1","1"
"34","1","VERBAL","8","7","0","1"
"35","1","VERBAL","9","6","1","1"
"36","1","VERBAL","10","6","0","1"
"37","1","VERBAL","11","6","1","1"
"38","1","VERBAL","12","6","0","1"
"39","1","VERBAL","13","6","1","1"
"40","1","VERBAL","14","5","1","1"
"41","1","VERBAL","0","5","0","0"
"42","1","VERBAL","1","5","1","0"
"43","1","VERBAL","2","5","1","0"
"44","1","VERBAL","3","5","1","0"
"45","1","VERBAL","4","5","1","0"
"46","1","VERBAL","5","5","0","0"
"47","1","VERBAL","6","5","0","0"
"48","1","VERBAL","7","5","1","0"
"49","1","VERBAL","8","5","0","0"
"50","1","VERBAL","9","5","1","0"
"51","1","KINESTHETIC","0","29","1","1"
"52","1","KINESTHETIC","1","33","0","1"
"53","1","KINESTHETIC","2","31","1","1"
"54","1","KINESTHETIC","3","29","1","1"
"55","1","KINESTHETIC","4","29","1","1"
"56","1","KINESTHETIC","5","38","0","1"
"57","1","KINESTHETIC","6","34","1","1"
"58","1","KINESTHETIC","7","30","1","1"
"59","1","KINESTHETIC","8","32","1","1"
"60","1","KINESTHETIC","9","34","0","1"
"61","1","KINESTHETIC","10","31","1","1"
"62","1","KINESTHETIC","11","29","1","1"
"63","1","KINESTHETIC","12","29","1","1"
"64","1","KINESTHETIC","13","35","0","1"
"65","1","KINESTHETIC","14","32","0","1"
"66","1","KINESTHETIC","0","36","0","0"
"67","1","KINESTHETIC","1","36","0","0"
"68","1","KINESTHETIC","2","36","0","0"
"69","1","KINESTHETIC","3","36","1","0"
"70","1","KINESTHETIC","4","36","1","0"
"71","1","KINESTHETIC","5","36","0","0"
"72","1","KINESTHETIC","6","36","0","0"
"73","1","KINESTHETIC","7","36","1","0"
"74","1","KINESTHETIC","8","36","0","0"
"75","1","KINESTHETIC","9","36","0","0"
"76","2","VISUAL","0","20","1","1"
"77","2","VISUAL","1","14","0","1"
"78","2","VISUAL","2","16","1","1"
"79","2","VISUAL","3","15","1","1"
"80","2","VISUAL","4","13","1","1"
"81","2","VISUAL","5","20","1","1"
"82","2","VISUAL","6","19","1","1"
"83","2","VISUAL","7","19","0","1"
"84","2","VISUAL","8","12","1","1"
"85","2","VISUAL","9","9","0","1"
"86","2","VISUAL","10","13","1","1"
"87","2","VISUAL","11","14","0","1"
"88","2","VISUAL","12","11","1","1"
"89","2","VISUAL","13","15","1","1"
"90","2","VISUAL","14","17","1","1"
"91","2","VISUAL","0","32","1","0"
"92","2","VISUAL","1","32","1","0"
"93","2","VISUAL","2","32","1","0"
"94","2","VISUAL","3","32","0","0"
"95","2","VISUAL","4","32","1","0"
