"5","33","2014-08-25 19:43:36","Low","35","38","20","18","6","6","Yay+games%21"
"6","23","2014-08-26 10:39:07","High","30","32","10","5","3","3",
"7","32","2014-08-26 11:55:12","High","34","36","12","12","4","5",
"8","21","2014-08-26 12:03:15","High","30","23","20","30","4","7",
"9","18","2014-08-26 12:07:51","Mid","38","38","7","8","5","6",
"10","19","2014-08-26 12:28:25","Low","25","25","26","26","3","2",
"11","25","2014-08-26 12:47:51","Low","33","33","15","15","7","7",
"12","23","2014-08-26 12:55:10","High","30","25","20","17","4","4",
"13","18","2014-08-26 13:03:53","High","18","18","2","10","8","5",
"14","26","2014-08-26 13:23:57","High","30","30","10","10","4","5",
"15","22","2014-08-26 13:33:39","High","29","31","18","10","6","4",
"16","20","2014-08-26 14:27:16","Mid","40","42","9","10","9","9",
"17","41","2014-08-26 16:57:56","High","12","10","25","30","4","5",
"18","18","2014-08-26 17:08:26","High","33","38","14","10","8","5",
"19","22","2014-08-26 17:34:43","High","30","30","20","20","7","7",
"20","21","2014-08-26 17:51:26","High","58","33","23","29","6","4","%3A%28"
"21","23","2014-08-26 17:58:32","High","24","25","6","6","6","7",
"22","27","2014-08-26 18:01:20","High","31","31","3","7","4","7","For+the+word+based+tests%2C+accents+should+probably+be+taken+into+consideration+as+some+words+do+actually+sound+similar+depending+on+where+you%27re+from."
"23","18","2014-08-26 19:04:46","Low","10","10","29","12","0","1",
"24","23","2014-08-26 19:04:56","High","39","39","6","6","7","7",
"25","19","2014-08-26 19:25:44","High","27","27","8","15","5","5",
"26","22","2014-08-26 19:35:57","High","5","1","15","19","4","5","I+didn%27t+know+some+of+the+words+that+were+on+the+rhyming+list+and+that+made+it+harder+to+guess+whether+or+not+they+rhymed+%28cf.+%22agate%22%29.+I+also+reduced+the+diameter+for+the+maze+because+the+speed+of+movement+was+confusing+and+inconsistent%2C+not+because+I+was+having+trouble+navigating."
"27","19","2014-08-26 20:10:12","Low","45","45","30","12","7","5",
"28","30","2014-08-26 21:12:39","High","15","15","40","40","4","5",
"29","29","2014-08-26 21:41:34","Low","21","21","12","9","6","8",
"30","20","2014-08-26 22:45:06","Low","24","23","10","13","6","5",
"31","19","2014-08-26 22:47:25","Mid","30","30","24","20","5","5",
"32","30","2014-08-26 22:48:38","High","20","29","16","13","4","5",
"33","28","2014-08-26 23:15:44","High","40","30","14","14","4","5",
"34","23","2014-08-26 23:52:28","High","20","30","30","15","3","3",
"35","38","2014-08-27 02:02:48","Low","40","40","12","8","6","4",
